"Category";"Group";"Type";"Message";"Location";"Assessment";"Since";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `Name` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Data/Diary.java:17-17";"YELLOW";"default@1591478094031";
"Documentation";"Task tags";"Comments/Task Tags";"TODO: Right data type?";"sourcefiles/dbserver/src/TBA/Data/Diary.java:20-20";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `ID` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Data/Diary.java:16-16";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Diary.java:77-81";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 48";"sourcefiles/dbserver/src/TBA/Data/Diary.java:16-179";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Diary.java:163-166";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 20";"sourcefiles/dbserver/src/TBA/Data/Diary.java:194-253";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Diary.java:190-193";"YELLOW";"default@1591478094031";
"Documentation";"Task tags";"Comments/Task Tags";"TODO: Maybe int userID?";"sourcefiles/dbserver/src/TBA/Data/Diary.java:18-18";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Diary.java:172-175";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Diary.java:208-211";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `ID` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Data/Diary.java:167-167";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `Name` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Data/Diary.java:176-176";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Data` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Data/Diary.java:1-1";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Entry.java:158-162";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Entry.java:80-83";"YELLOW";"default@1591478094031";
"Documentation";"Task tags";"Comments/Task Tags";"TODO: confirm during?";"sourcefiles/dbserver/src/TBA/Data/Entry.java:157-157";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Entry.java:133-136";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Entry.java:44-47";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 63";"sourcefiles/dbserver/src/TBA/Data/Entry.java:13-237";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Entry.java:62-65";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Entry.java:98-101";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Entry.java:116-119";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Data` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Data/Entry.java:1-1";"YELLOW";"default@1591478094031";
