"Category";"Group";"Type";"Message";"Location";"Assessment";"Since";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/ActiveTestSuite.java:17-18";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `runFinished` are in wrong order";"sourcefiles/src/main/java/junit/extensions/ActiveTestSuite.java:66-66";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Using threads is forbidden for Java EE containers";"Thread.start() should not be used";"sourcefiles/src/main/java/junit/extensions/ActiveTestSuite.java:53-53";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/ActiveTestSuite.java:20-20";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/ActiveTestSuite.java:66-66";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/src/main/java/junit/extensions/ActiveTestSuite.java:17-18";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/ActiveTestSuite.java:28-28";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/ActiveTestSuite.java:24-24";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/RepeatedTest.java:12-12";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/TestDecorator.java:30-30";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/TestDecorator.java:26-26";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/TestDecorator.java:15-15";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/junit/extensions/TestSetup.java:40-41";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/junit/extensions/TestSetup.java:33-34";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/TestSetup.java:21-21";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/extensions/TestSetup.java:14-14";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertTrue` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:20-20";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/Assert.java:323-323";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `failNotSame` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:323-323";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/junit/framework/Assert.java:319-319";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertNotNull` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:247-247";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `failNotEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:328-328";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Unwanted constructor calls";"Constructor of type `Float` should not be called explicitly";"sourcefiles/src/main/java/junit/framework/Assert.java:142-142";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:180-180";"YELLOW";"default@1590680627101";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 11";"sourcefiles/src/main/java/junit/framework/Assert.java:284-316";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertFalse` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:46-46";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:225-225";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:195-195";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:106-106";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertSame` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:295-295";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertNull` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:276-276";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:158-158";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/junit/framework/Assert.java:324-324";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/junit/framework/Assert.java:99-99";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:218-218";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:203-203";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertFalse` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:38-38";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Type `Assert` is marked as `@Deprecated`";"sourcefiles/src/main/java/junit/framework/Assert.java:9-339";"YELLOW";"default@1590680627101";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 16";"sourcefiles/src/main/java/junit/framework/Assert.java:13-65";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:85-85";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:137-137";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertNull` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:266-266";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `failSame` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:318-318";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:150-150";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:233-233";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `fail` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:53-53";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertSame` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:284-284";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/src/main/java/junit/framework/Assert.java:13-14";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:173-173";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `fail` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:63-63";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:71-71";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:115-115";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertTrue` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:30-30";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/Assert.java:328-328";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertNotSame` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:314-314";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/Assert.java:318-318";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:92-92";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Unwanted constructor calls";"Constructor of type `Double` should not be called explicitly";"sourcefiles/src/main/java/junit/framework/Assert.java:120-120";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:188-188";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertNotSame` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:304-304";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:210-210";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:240-240";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/Assert.java:332-332";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:128-128";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `assertEquals` are in wrong order";"sourcefiles/src/main/java/junit/framework/Assert.java:165-165";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/src/main/java/junit/framework/AssertionFailedError.java:10-11";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/junit/framework/AssertionFailedError.java:18-18";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/AssertionFailedError.java:10-11";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/AssertionFailedError.java:13-13";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/junit/framework/ComparisonCompactor.java:71-71";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/ComparisonCompactor.java:3-3";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/junit/framework/ComparisonCompactor.java:66-66";"YELLOW";"default@1590680627101";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 12";"sourcefiles/src/main/java/junit/framework/ComparisonCompactor.java:44-61";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/ComparisonCompactor.java:15-15";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/ComparisonCompactor.java:21-21";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapter.java:33-33";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapter.java:27-27";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapter.java:16-16";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapter.java:79-79";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapter.java:37-37";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapter.java:51-51";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapter.java:83-83";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapter.java:23-23";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapterCache.java:13-13";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapterCache.java:21-21";"YELLOW";"default@1590680627101";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `fInstance` violates naming convention. Should be one of `[A-Z][_A-Z0-9]*`";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapterCache.java:15-15";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapterCache.java:65-65";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestAdapterCache.java:44-44";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestCaseFacade.java:22-22";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Throw of generic exception in Java";"Throw of generic exception RuntimeException";"sourcefiles/src/main/java/junit/framework/JUnit4TestCaseFacade.java:23-23";"RED";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestCaseFacade.java:18-18";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/JUnit4TestCaseFacade.java:6-6";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/TestCase.java:493-493";"YELLOW";"default@1590680627101";
"Code Anomalies";"Formatting";"Code Anomalies/Missing braces for block statements";"if statement without braces";"sourcefiles/src/main/java/junit/framework/TestCase.java:148-148";"YELLOW";"default@1590680627101";
"Code Anomalies";"Formatting";"Code Anomalies/Missing braces for block statements";"if statement without braces";"sourcefiles/src/main/java/junit/framework/TestCase.java:151-151";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/TestCase.java:503-503";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/TestCase.java:488-488";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/TestCase.java:498-498";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/junit/framework/TestCase.java:147-149";"RED";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/junit/framework/TestCase.java:511-512";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/junit/framework/TestCase.java:142-144";"RED";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/junit/framework/TestCase.java:518-519";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Comments/Commented Out Code";"Commented Out Code";"sourcefiles/src/main/java/junit/framework/TestCase.java:7-75";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/TestFailure.java:48-48";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/TestFailure.java:55-55";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/TestResult.java:24-24";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/junit/framework/TestResult.java:147-149";"RED";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/framework/TestResult.java:121-121";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/src/main/java/junit/framework/TestSuite.java:119-120";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Field could be final (Java)";"Field `fTests` could be made final";"sourcefiles/src/main/java/junit/framework/TestSuite.java:114-114";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `createTest` are in wrong order";"sourcefiles/src/main/java/junit/framework/TestSuite.java:50-50";"YELLOW";"default@1590680627101";
