"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L7098","void main(String[] args)","DatePicker.JDatePanel.main([Ljava/lang/String;)V","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","411","2","430","3","0","0","0","0","0","0","0","0","148.093","20.7273","8505.28","416.67","80","35","472.516","410.343","97.9295","57.2687","103.918","60.7709","1","0","0","0","2","0.315789","6","4","0.26087","6","13","16","10","1","17","20","11","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4755","JDatePanel()","DatePicker.JDatePanel.<init>()V","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","467","2","470","3","0","0","0","0","0","0","0","0","11.6096","2.5","45.2368","12.6958","7","6","2.51316","18.0947","133.255","77.9268","159.1","93.0407","1","0","0","4","1","0.428571","3","3","0.428571","3","4","4","2","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7139","void setFontSize(int size)","DatePicker.JDatePanel.setFontSize(I)V","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","476","4","485","3","0","0","0","0","0","0","0","0","89.1384","17","4131.05","257.458","53","24","229.503","243.003","106.611","62.3456","118.164","69.1016","1","0","0","0","3","0.357143","5","4","0.357143","5","9","10","6","1","9","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4787","void addActionListener(ActionListener arg)","DatePicker.JDatePanel.addActionListener(Ljava/awt/event/ActionListener;)V","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","491","2","493","3","0","0","0","0","0","0","0","0","26","6","239.179","38.5314","12","10","13.2877","39.8631","133.808","78.2504","163.504","95.6163","1","0","0","3","1","0.571429","4","4","0.571429","4","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7156","void addChangeListener(ChangeListener arg)","DatePicker.JDatePanel.addChangeListener(Ljavax/swing/event/ChangeListener;)V","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","499","2","501","3","0","0","0","0","0","0","0","0","26","6","239.179","38.5314","12","10","13.2877","39.8631","133.808","78.2504","163.504","95.6163","1","0","0","1","1","0.571429","4","4","0.571429","4","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6960","void fireActionPerformed()","DatePicker.JDatePanel.fireActionPerformed()V","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","507","2","513","3","0","0","0","0","0","0","0","0","103.848","16.8","3316.63","222.398","42","26","184.257","197.418","111.533","65.2237","125.616","73.4599","2","1","1","1","1","0.363636","4","4","0.363636","4","7","7","4","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7154","Vector getActionListeners()","DatePicker.JDatePanel.getActionListeners()Ljava/util/Vector;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","515","2","520","3","0","0","0","0","0","0","0","0","42.8086","9.16667","628.214","73.3508","18","14","34.9007","68.5324","119.532","69.9015","96.9503","56.6961","2","1","1","3","0","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4828","Calendar getCalendarClone()","DatePicker.JDatePanel.getCalendarClone()Ljava/util/Calendar;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","526","2","528","3","0","0","0","0","0","0","0","0","24","4","126.797","25.239","10","9","7.04428","31.6992","135","78.9472","165.223","96.6217","1","0","0","3","2","0.571429","4","4","0.571429","4","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7168","GregorianCalendarModel getCalenderModel()","DatePicker.JDatePanel.getCalenderModel()LDatePicker/JDatePanel$GregorianCalendarModel;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","530","2","536","3","0","0","0","0","0","0","0","0","56.1057","11.375","1115.88","107.583","24","17","61.9932","98.0991","115.169","67.3504","90.6568","53.0157","2","1","1","5","2","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7173","JPanel getCenterPanel()","DatePicker.JDatePanel.getCenterPanel()Ljavax/swing/JPanel;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","547","2","556","3","0","0","0","0","0","0","0","0","140.096","25","9206.02","439.253","73","33","511.445","368.241","102.513","59.9489","116.166","67.9336","2","1","1","1","2","0.473684","9","9","0.473684","9","10","10","7","0","10","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6987","Vector getChangeListeners()","DatePicker.JDatePanel.getChangeListeners()Ljava/util/Vector;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","558","2","563","3","0","0","0","0","0","0","0","0","42.8086","9.16667","628.214","73.3508","18","14","34.9007","68.5324","119.532","69.9015","96.9503","56.6961","2","1","1","3","0","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7185","JTable getDayTable()","DatePicker.JDatePanel.getDayTable()Ljavax/swing/JTable;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","574","2","596","3","0","0","0","0","0","0","0","0","326.654","42.9","37837.8","1127.07","147","64","2102.1","882","84.9677","49.6887","85.2751","49.8685","3","2","2","2","3","0.3125","10","9","0.3125","10","22","23","20","0","22","23","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7226","CalendarTableCellRenderer getDayTableCellRenderer()","DatePicker.JDatePanel.getDayTableCellRenderer()LDatePicker/JDatePanel$CalendarTableCellRenderer;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","598","2","603","3","0","0","0","0","0","0","0","0","42.8086","9.16667","628.214","73.3508","18","14","34.9007","68.5324","119.532","69.9015","96.9503","56.6961","2","1","1","2","1","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7181","JTableHeader getDayTableHeader()","DatePicker.JDatePanel.getDayTableHeader()Ljavax/swing/table/JTableHeader;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","605","2","613","3","0","0","0","0","0","0","0","0","75.6096","16","2670.53","192.486","38","21","148.363","166.908","108.334","63.3534","80.7961","47.2492","2","1","1","1","2","0","0","0","0","0","9","9","6","0","9","9","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7213","EventHandler getEventHandler()","DatePicker.JDatePanel.getEventHandler()LDatePicker/JDatePanel$EventHandler;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","615","2","620","3","0","0","0","0","0","0","0","0","42.8086","9.16667","628.214","73.3508","18","14","34.9007","68.5324","119.532","69.9015","96.9503","56.6961","2","1","1","7","0","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7144","JLabel getMonthLabel()","DatePicker.JDatePanel.getMonthLabel()Ljavax/swing/JLabel;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","631","2","641","3","0","0","0","0","0","0","0","0","143.258","20.4","7264.9","375.105","70","34","403.605","356.122","101.143","59.1478","113.522","66.3869","2","1","1","2","3","0.45","9","9","0.45","9","11","11","8","0","11","11","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6948","JPopupMenu getMonthPopupMenu()","DatePicker.JDatePanel.getMonthPopupMenu()Ljavax/swing/JPopupMenu;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","652","2","661","3","0","0","0","0","0","0","0","0","125.549","28","7281.83","375.688","53","30","404.546","260.065","104.091","60.8721","118.546","69.325","3","2","2","1","1","0.473684","9","9","0.473684","9","10","10","8","0","10","10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7245","JMenuItem[] getMonthPopupMenuItems()","DatePicker.JDatePanel.getMonthPopupMenuItems()[Ljavax/swing/JMenuItem;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","663","2","675","3","0","0","0","0","0","0","0","0","148.093","26.1818","10206.3","470.522","76","35","567.019","389.826","97.7362","57.1557","65.6081","38.3673","3","2","2","1","0","0","0","0","0","0","13","13","11","0","13","13","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7251","JButton getNextMonthButton()","DatePicker.JDatePanel.getNextMonthButton()Ljavax/swing/JButton;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","682","2","693","3","1","1","2","1","1","1","12","12","206.883","26.5714","13717.1","573.026","94","45","762.06","516.234","97.8024","57.1944","102.84","60.1401","2","1","1","3","2","0.294118","5","5","0.294118","5","12","12","9","0","12","12","9","0","0","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7266","JButton getNextYearButton()","DatePicker.JDatePanel.getNextYearButton()Ljavax/swing/JButton;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","700","2","711","3","1","1","2","1","1","1","12","12","212.183","25.8333","13555.7","568.524","95","46","753.097","524.738","97.7174","57.1447","102.717","60.0684","2","1","1","4","2","0.294118","5","5","0.294118","5","12","12","9","0","12","12","9","0","0","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7270","JPanel getNorthCenterPanel()","DatePicker.JDatePanel.getNorthCenterPanel()Ljavax/swing/JPanel;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","722","2","732","3","0","0","0","0","0","0","0","0","187.909","23","11162.1","499.456","90","42","620.116","485.309","99.5332","58.2066","111.2","65.029","2","1","1","1","2","0.45","9","9","0.45","9","11","11","8","0","11","11","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7277","JPanel getNorthPanel()","DatePicker.JDatePanel.getNorthPanel()Ljavax/swing/JPanel;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","743","2","755","3","0","0","0","0","0","0","0","0","217.58","30.0313","19350.1","720.757","116","47","1075.01","644.332","95.3531","55.7621","103.893","60.7563","2","1","1","1","3","0.409091","9","9","0.409091","9","13","13","10","0","13","13","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7282","JPanel getPreviousButtonPanel()","DatePicker.JDatePanel.getPreviousButtonPanel()Ljavax/swing/JPanel;","L4752","L103","C:\Users\aheck\Documents\Repos\diarymanagement\sourcefiles\tbaclient\src\DatePicker\JDatePanel.java","762","2","776","3","0","0","0","0","0","0","0","0","172.66","25.4545","12377.5","535.083","92","39","687.636","486.257","94.2686","55.1278","95.5768","55.8928","3","2","2","2","3","0.25","5","5","0.25","5","15","15","11","0","15","15","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
