"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L158","void run()","xmlChecker.BereinigungOnlinepartner.run()V","L114","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","69","2","83","3","0.966102","1","2","1","1","1","15","15","38.0537","5.5","256.325","40.3516","13","12","14.2403","46.6045","128.335","75.0498","109.55","64.0641","1","0","0","1","0","0","0","0","0","0","4","4","1","0","15","15","8","0","0","24","0","0","0","0","0","17","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L182","BereinigungOnlinepartner()","xmlChecker.BereinigungOnlinepartner.<init>()V","L114","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","88","2","252","3","0.48392","6","10","10","0.430303","0.415385","71","54","697.698","58.9155","213290","3569.83","526","118","11849.4","3620.27","58.8776","34.4314","31.5923","18.475","1","0","0","1","0","0.0886076","7","3","0.057971","8","72","106","63","0","130","165","86","0","0","78","0","0","0","0","0","37","0","0","0","0","0","37","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L288","void infoBox(String infoMessage, String titleBar)","xmlChecker.BereinigungOnlinepartner.infoBox(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","254","5","256","6","0","0","0","0","0","0","0","0","40.139","6.3","455.74","59.2214","19","14","25.3189","72.3397","130.709","76.4382","112.975","66.0671","1","0","0","2","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L332","String starteTeil1(String path)","xmlChecker.BereinigungOnlinepartner.starteTeil1(Ljava/lang/String;)Ljava/lang/String;","L114","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","263","2","278","3","0","0","0","0","0","0","0","0","145.542","18","6370.57","343.652","69","35","353.921","353.921","95.9204","56.0938","95.6112","55.913","3","1","1","1","1","0.210526","4","4","0.210526","4","15","16","10","1","15","16","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L368","String checkSingleFile(File file)","xmlChecker.BereinigungOnlinepartner.checkSingleFile(Ljava/io/File;)Ljava/lang/String;","L114","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","286","2","321","3","0","0","0","0","0","0","0","0","346.628","31.0333","29848.5","962.235","158","68","1658.25","961.819","76.3151","44.6287","63.4452","37.1025","8","4","4","1","1","0.15","6","5","0.15","6","34","36","21","1","34","36","21","0","0","3","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L339","String starteTeil2(String path)","xmlChecker.BereinigungOnlinepartner.starteTeil2(Ljava/lang/String;)Ljava/lang/String;","L114","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","325","2","337","3","0","0","0","0","0","0","0","0","100.362","16.2857","3368.2","224.698","44","26","187.122","206.819","102.329","59.8415","99.8665","58.4015","3","2","2","1","1","0.142857","2","0","0.142857","2","12","13","7","1","12","13","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L401","void bereinigungTeil2(File file)","xmlChecker.BereinigungOnlinepartner.bereinigungTeil2(Ljava/io/File;)V","L114","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","341","2","422","3","0","0","0","0","0","0","0","0","626.825","82.45","213308","3570.03","383","108","11850.5","2587.12","59.5218","34.808","36.0276","21.0688","13","6","3","1","0","0.109589","8","0","0.109589","8","65","82","51","1","65","82","51","0","0","4","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L346","String starteTeil3(String path)","xmlChecker.BereinigungOnlinepartner.starteTeil3(Ljava/lang/String;)Ljava/lang/String;","L114","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","426","2","514","3","0","0","0","0","0","0","0","0","968.267","58.3111","224156","3690.06","529","154","12453.1","3844.13","55.8122","32.6387","32.6262","19.0796","12","6","4","1","0","0.130952","11","0","0.130952","11","73","89","60","1","73","89","60","0","0","6","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L301","String FilenamesToString(String path)","xmlChecker.BereinigungOnlinepartner.FilenamesToString(Ljava/lang/String;)Ljava/lang/String;","L114","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","517","2","539","3","0","0","0","0","0","0","0","0","199.485","26.1","13536.7","567.991","95","44","752.037","518.646","88.8128","51.9373","69.521","40.6555","5","3","3","2","0","0.047619","1","0","0.047619","1","20","23","13","1","20","23","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L523","void run()","xmlChecker.LAChecker.run()V","L496","L103","C:\Users\aheck\Documents\Repos\xml2\LAChecker.java","64","2","79","3","0","0","0","0","0","0","0","0","38.0537","5.5","256.325","40.3516","13","12","14.2403","46.6045","128.335","75.0498","109.55","64.0641","1","0","0","1","0","0","0","0","0","0","4","4","1","0","16","16","9","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
